,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT
,FAT,AF,PTAT,MdLF,SLF_III,SLF_II,SLF_I,C_FP,C_R,C_FPH,C_PHP,C_PH,ILF,IFOF,UF,VOF,CST,CBT,CStr_A,CStr_P,CStr_S,CTh_A,CTh_P,CTh_S,OR,F,FAT,AF,PTAT,MdLF,SLF_III,SLF_II,SLF_I,C_FP,C_R,C_FPH,C_PHP,C_PH,ILF,IFOF,UF,VOF,CST,CBT,CStr_A,CStr_P,CStr_S,CTh_A,CTh_P,CTh_S,OR,F
PGp,,,40%,,,,,,,,,,83%,61%,,99%,,,,55%,,,17%,,3%,,,1%,100%,,,9%,,,,,,,99%,54%,,91%,,,,68%,,,28%,,0%,
LO1,,,0%,,,,,,,,,,13%,4%,,100%,,,,1%,,,0%,,0%,,,,3%,,,,,,,,,,44%,16%,,100%,,,,1%,,,,,,
IP0,,,1%,1%,,,,,,,0%,,69%,44%,,96%,,,,38%,,,17%,,1%,,,,3%,1%,,0%,,,,,0%,,90%,48%,,94%,,,,59%,,,20%,,1%,
IPS1,,,0%,37%,,,,,,,34%,,83%,48%,,49%,,,,90%,,,95%,,0%,,,,1%,20%,,0%,,,,,54%,,89%,75%,,6%,,,,95%,,,82%,,,
V3CD,,,,,,,,,,,,,53%,23%,,100%,,,,13%,,,2%,,8%,,,,8%,,,,,,,,,,76%,36%,,100%,,,,8%,,,1%,,1%,
V3B,,,,,,,,,,,,,78%,51%,,100%,,,,27%,,,9%,,10%,,,,1%,,,,,,,,,,93%,74%,,98%,,,,42%,,,15%,,9%,
V7,,,,,,,,,,,,,99%,85%,,96%,,,,50%,,,61%,,22%,,,,0%,,,,,,,,,,100%,97%,,98%,,,,88%,,,55%,,4%,
V4,,,,,,,,,,,,,100%,98%,,100%,,,,71%,,,31%,,62%,,,,,,,,,,,,,,100%,100%,,100%,,,,63%,,,29%,,35%,
V6A,,,,,,,,,,,36%,,99%,94%,,81%,,,,89%,,,98%,,4%,,,,,2%,,,,,,,47%,,99%,97%,,45%,,,,100%,,,91%,,,
V3A,,,,,,,,,,,,,99%,99%,,97%,,,,83%,,,97%,,82%,,,,,,,,,,,,11%,,100%,100%,,98%,,,,100%,,,100%,,47%,
V3,,,,,,,,,,,51%,,100%,100%,,99%,,,,92%,,,95%,,97%,,,,,,,,,,,,86%,,100%,100%,,99%,,,,100%,,,95%,,98%,
V6,,,,,,,,,,,47%,,98%,96%,,62%,,,,55%,,,99%,,0%,,,,,,,,,,,,74%,,99%,95%,,5%,,,,100%,,,96%,,0%,
TGv,,18%,,,,,,,,,17%,81%,93%,,52%,,,,,,,,,,,,,,,,,,,,,2%,65%,84%,99%,,34%,,,,,,,,,,,
TF,,73%,,,,,,,,0%,10%,46%,99%,1%,0%,,,,,,,,,,,,,2%,0%,,,,,,,22%,77%,63%,100%,0%,2%,,,,,,,,,,,
PHA1,,,,,,,,,,95%,100%,100%,40%,,,,,,,,,,,,,,,,,,,,,,,89%,100%,100%,38%,,,,,,,,,,,,,
PreS,,,,,,,,,,100%,100%,100%,0%,,,,,,,,,,,,,42%,,,,,,,,,,99%,100%,100%,2%,,,,,,,,,,,,,21%
H,,0%,,,,,,,,74%,92%,100%,72%,9%,0%,,,,,3%,,,,,1%,98%,,,,,,,,,,54%,99%,100%,88%,2%,,,,,,0%,,,,,,97%
PeEc,,8%,,,,,,,,92%,100%,100%,95%,,95%,,,,,21%,,,,,,3%,,,,,,,,,,85%,100%,100%,100%,,87%,,,,,,,,,,,2%
EC,,,,,,,,,,96%,99%,99%,6%,,7%,,,,,3%,,,,,,22%,,,,,,,,,,62%,81%,100%,68%,,3%,,,,,1%,,,,,,27%
VVC,,,,,,,,,,0%,14%,55%,86%,,,16%,,,,,,,,,,,,,,,,,,,,2%,32%,29%,79%,26%,,0%,,,,,,,,,,
