,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,LEFT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT,RIGHT
,FAT,AF,PTAT,MdLF,SLF_III,SLF_II,SLF_I,C_FP,C_R,C_FPH,C_PHP,C_PH,ILF,IFOF,UF,VOF,CST,CBT,CStr_A,CStr_P,CStr_S,CTh_A,CTh_P,CTh_S,OR,F,FAT,AF,PTAT,MdLF,SLF_III,SLF_II,SLF_I,C_FP,C_R,C_FPH,C_PHP,C_PH,ILF,IFOF,UF,VOF,CST,CBT,CStr_A,CStr_P,CStr_S,CTh_A,CTh_P,CTh_S,OR,F
7Am,,,,77%,,,95%,19%,,,60%,,,,,,,,,90%,,,99%,17%,,,,,,57%,,0%,63%,45%,7%,,38%,,,,,,,,,90%,6%,,100%,9%,,
7Pm,,,,41%,,,90%,77%,,,91%,,,,,,,,,65%,,,92%,,,,,,,1%,,,9%,81%,32%,,89%,,,0%,,,,,,54%,,,90%,0%,,
5mv,,,,0%,,,100%,10%,,,,,,,,,,,,5%,1%,,15%,11%,,,,,,,,,100%,55%,2%,,0%,,,,,,,,,1%,7%,,25%,12%,,
PCV,,,,2%,,,100%,82%,5%,,12%,,,,,,,,,5%,,,28%,2%,,,,,,,,,100%,98%,54%,,27%,,,,,,,,,5%,1%,,29%,3%,,
DVT,,,,29%,,,0%,1%,,,97%,3%,84%,72%,,22%,,,,92%,,,99%,,0%,,,,,1%,,,,2%,1%,0%,100%,0%,85%,75%,,,,,,95%,,,83%,,,
7PL,,,,89%,,,14%,6%,,,81%,,8%,1%,,,,,,96%,,,100%,0%,,,,,,62%,,,,9%,1%,,79%,,28%,23%,,,,,,92%,,,99%,,,
POS2,,,,10%,,,49%,98%,4%,,100%,,23%,17%,,0%,,,,76%,,,97%,,,,,,,,,,,97%,84%,,100%,,33%,27%,,,,,,69%,,,42%,,,
31pv,,,,,,,50%,100%,93%,21%,3%,0%,,,,,,,,0%,,,0%,,,,,,,,,,26%,100%,98%,26%,5%,,,,,,,,,0%,,,,,,
31pd,,,,0%,,,95%,100%,35%,2%,15%,,,,,,,,,2%,,,6%,,,,,,,,,,27%,100%,92%,4%,27%,,,,,,,,,1%,0%,,2%,,,
7m,,,,0%,,,93%,100%,25%,,74%,,,,,,,,,12%,,,28%,,,,,,,,,,0%,100%,96%,3%,98%,,,0%,,,,,,10%,,,7%,,,
v23ab,,,,,,,,100%,53%,79%,10%,9%,,,,,,,,0%,,,,,,,,,,,,,,100%,100%,97%,19%,18%,,,,,,,,0%,,,,,,
POS1,,,,,,,,97%,9%,81%,86%,59%,0%,,,,,,,1%,,,0%,,,,,,,,,,,100%,97%,93%,100%,44%,,,,,,,,0%,,,0%,,,
d23ab,,,,,,,11%,86%,99%,19%,0%,,,,,,,,,,,,,,,,,,,,,,2%,100%,98%,41%,1%,0%,,,,,,,,,,,,,,
RSC,,,,,,,5%,92%,100%,100%,100%,95%,,,,,,,,,,,,,,,,,,,,,,100%,100%,100%,91%,93%,,,,,,,,,,,,,,
Pir,,,,27%,,,,,0%,,,3%,,1%,100%,,,,1%,49%,38%,,,,,,,,,,,,,,,,2%,24%,96%,11%,100%,,,,2%,1%,6%,,,,,
AAIC,,,,,,,,,,,,,,93%,99%,,,,31%,11%,45%,,,7%,,,,3%,,,,,,,,,,,,95%,81%,,,,36%,,15%,0%,,2%,,
MI,,,,,,,,,,,,,,85%,22%,,,,30%,0%,82%,,,5%,,,,5%,,,,,,,,,,,,76%,,,,,42%,,96%,,,3%,,
PoI2,,,,,,,,,,,,,,81%,50%,,,,8%,86%,94%,,,,,,,5%,,,,,,,,,,,,88%,8%,,,,14%,24%,96%,,,1%,,
25,,,,,,,,,98%,,,,,,26%,,,,32%,0%,,0%,,,,,,,,,,,,,98%,,,,,,,,,,21%,,,,,,,
pOFC,,,,,,,,,72%,,,,,0%,98%,,,,15%,8%,,,,,,,,,,,,,,,60%,,,,,0%,43%,,,,11%,,,,,,,
s32,,,,,,,,,35%,,,,,1%,49%,,,,47%,,,1%,,,,,,,,,,,,0%,43%,,,,,0%,53%,,,,13%,,,,,,,
OFC,,,,,,,,,1%,,,,,19%,48%,,,,43%,,,3%,,,,,,,,,,,,,1%,,,,,17%,62%,,,,35%,,,,,,,
8BM,24%,,,,,,90%,91%,,90%,,,,,,,,,11%,,40%,45%,,74%,,,,,,,,,95%,96%,,86%,,,,,,,,,17%,,64%,41%,,85%,,
a32pr,,,,,,,85%,100%,90%,94%,,,,,,,,,0%,,1%,4%,,5%,,,,,,,,,63%,100%,37%,89%,,,,,,,,,0%,,0%,1%,,2%,,
9m,,,,,,,17%,99%,42%,91%,,,,11%,,,,,77%,,1%,91%,,3%,,,,,,,,,4%,99%,12%,80%,,,,9%,0%,,,,91%,,,95%,,,,
d32,,,,,,,26%,100%,38%,85%,,,,2%,,,,,7%,,0%,14%,,1%,,,,,,,,,36%,100%,21%,97%,,,,1%,,,,,3%,,,6%,,0%,,
p24,,,,,,,,96%,100%,37%,,,,0%,,,,,6%,,,5%,,,,,,,,,,,1%,100%,100%,89%,,,,3%,,,,,7%,,,8%,,,,
p32,,,,,,,,15%,10%,6%,,,,4%,2%,,,,42%,,,6%,,,,,,,,,,,,82%,34%,2%,,,,6%,10%,,,,29%,,,8%,,,,
a24,,,,,,,,45%,95%,22%,,,,5%,2%,,,,33%,,,7%,,,,,,,,,,,,100%,100%,56%,,,,8%,3%,,,,15%,,,11%,,,,
9a,,,,,,1%,,35%,,30%,,,,69%,,,,,98%,,,99%,,1%,,,,,,,,13%,,9%,,,,,,87%,,,,,100%,,,99%,,,,
10d,,,,,,,,68%,,26%,,,,84%,,,,,99%,,,99%,,,,,,,,,,,,30%,,,,,,82%,8%,,,,99%,,,97%,,,,
p47r,,5%,,,,4%,,,,,,,,99%,6%,,,,99%,,,98%,,,,,,,,,,47%,,,,,,,,99%,,,,,100%,,,99%,,,,
a9-46v,,24%,,,,33%,,,,,,,,64%,,,,,100%,,,97%,,,,,,8%,,,,58%,,,,,,,,68%,,,,,96%,,,98%,,,,
10pp,,,,,,,,,,,,,,96%,90%,,,,100%,,,95%,,,,,,,,,,,,0%,,,,,,97%,91%,,,,100%,,,82%,,,,
47s,,,,,,,,,,,,,,97%,100%,,,,62%,,,18%,,,,,,,,,,,,,,,,,,99%,92%,,,,30%,,,1%,,,,
13l,,,,,,,,,,,,,,18%,95%,,,,14%,,,4%,,,,,,,,,,,,,,,,,,30%,55%,,,,6%,,,0%,,,,
47m,,,,,,,,,,,,,,97%,76%,,,,74%,,,38%,,,,,,,,,,,,,,,,,,97%,59%,,,,44%,,,4%,,,,
10v,,,,,,,,,,,,,,65%,46%,,,,97%,,,63%,,,,,,,,,,,,0%,2%,,,,,40%,69%,,,,96%,,,1%,,,,
10r,,,,,,,,,2%,,,,,16%,34%,,,,81%,,,8%,,,,,,,,,,,,5%,3%,,,,,14%,64%,,,,89%,,,3%,,,,
p10p,,,,,,0%,,,,,,,,94%,3%,,,,100%,,,99%,,,,,,,,,,15%,,1%,,,,,,97%,28%,,,,100%,,,100%,,,,
AVI,,,,,,,,,,,,,,100%,82%,,,,73%,,,26%,,,,,,,,,,10%,,,,,,,,100%,35%,,,,66%,,1%,8%,,,,
a10p,,,,,,,,,,,,,,100%,66%,,,,100%,,,100%,,,,,,,,,,3%,,,,,,,,100%,76%,,,,100%,,,99%,,,,
a47r,,,,,,,,,,,,,,100%,76%,,,,100%,,,100%,,,,,,,,,,31%,,,,,,,,100%,21%,,,,100%,,,99%,,,,
11l,,,,,,,,,,,,,,100%,97%,,,,98%,,,84%,,,,,,,,,,0%,,,,,,,,99%,80%,,,,97%,,,49%,,,,
47l,,,,,,,,,,,,,,100%,83%,,,,100%,,,92%,,,,,,,,,,13%,,,,,,,,100%,35%,,,,97%,,,73%,,,,
